ID,Event_team,Player,playerno,Shot_place,Shot_outcome,Location,Body_Part,assist_method,Situation,fastbreak,is_goal,xG
5,Occidental,Adrian Paredes,14,12,1,3,3,0,2,0,0,1
5,Occidental,Spencer Shearer,3,3,1,15,1,1,1,1,0,1
5,Occidental,Marcus Blumenfeld,9,6,2,5,3,2,1,0,0,0
5,Occidental,Ryan Wilson,4,8,1,3,3,2,1,0,0,0.05
5,Occidental,Matthew Teplitz,7,6,2,9,2,0,2,0,0,0
5,Occidental,Jack Meeker,13,3,2,9,2,0,1,1,0,0
5,Occidental,Ben Simon,8,9,2,8,3,2,1,0,0,0
5,Occidental,Matthew Teplitz,7,2,3,9,1,0,1,0,0,0
5,Occidental,Joey Schwartz,19,3,1,4,1,0,1,0,0,0.59
5,Occidental,Jake Foster,18,1,2,13,3,2,1,0,0,0
5,Occidental,Miles Robertson,23,2,3,17,2,0,1,0,0,0
5,Occidental,David Paine,5,2,3,9,1,2,2,0,0,0
5,Occidental,David Paine,5,3,1,10,2,0,1,0,0,0.41
5,Occidental,David Paine,5,3,2,11,3,0,2,0,0,0
5,Occidental,Nicolas Eble,6,5,1,3,2,4,1,0,0,0.26
5,Occidental,Jake Foster,18,2,3,5,1,0,1,0,0,0
5,Occidental,Ben Simon,8,3,1,9,1,0,1,0,0,0.08
5,Occidental,Ben Simon,8,9,2,3,2,1,1,0,0,0
5,Occidental,Adrian Paredes,14,5,1,18,1,1,1,0,0,0
5,George Fox,Joey Schwartz,19,1,2,15,1,1,1,0,0,0
6,Occidental,Nicolas Eble,6,6,2,17,1,0,1,0,0,0
6,Occidental,David Paine,5,8,2,12,1,1,2,0,0,0
6,Lake Forest,Erik Truitt,0,10,2,15,1,0,1,0,0,0
6,Occidental,Adrian Paredes,14,10,2,12,3,1,2,0,0,0
6,Lake Forest,Gaston Aubert,0,6,2,4,1,0,1,0,0,0
6,Occidental,Logan Myers,16,9,4,17,2,0,1,0,0,0
6,Lake Forest,Joao Godoy,0,8,2,10,1,1,1,0,0,0
6,Occidental,Ben Simon,8,13,1,6,2,0,4,0,0,1
6,Occidental,David Paine,5,2,3,3,3,3,3,0,0,0
6,Lake Forest,Joao Godoy,0,4,1,8,2,0,1,0,0,0.23
6,Lake Forest,Joao Godoy,0,6,2,4,2,1,1,0,0,0
6,Lake Forest,Gaston Aubert,0,2,3,5,1,0,1,0,0,0
6,Occidental,Riley McCabe,2,10,2,11,3,2,1,0,0,0
6,Lake Forest,Matt McCullough,0,5,1,17,1,0,1,0,0,0.03
6,Occidental,Matthew Teplitz,7,9,2,9,2,4,1,1,0,0
6,Occidental,Marcus Blumenfeld,9,2,3,17,1,0,1,0,0,0
6,Occidental,Adrian Paredes,14,9,2,17,1,1,1,0,0,0
6,Occidental,Ben Simon ,8,10,2,9,3,4,1,0,0,0
6,Lake Forest,Erik Truitt,0,5,1,15,3,4,1,0,0,0.03
6,Occidental,Nicolas Eble,6,5,1,15,2,0,1,0,0,0.02
6,Lake Forest,Gaston Aubert,0,2,3,15,1,0,4,0,0,0
6,Lake Forest,Deniz Gundogdu,0,9,2,12,1,0,1,0,0,0
6,Occidental,Adrian Paredes,14,4,1,13,3,0,2,0,1,1
7,Redlands,Derrin Valeri,0,2,3,15,1,0,1,0,0,0
7,Occidental,Miles Robertson,23,2,3,3,2,0,1,0,0,0
7,Redlands,Collin ChubbFertal,0,2,3,12,1,0,1,0,0,0
